model,roc_auc,pr_auc,f1,balanced_acc,recall,precision,accuracy,fit_time_s
RandomForest,0.8771,0.2304,0.0,0.5,0.0,0.0,0.9706,0.7
ExtraTrees,0.9498,0.4526,0.0,0.4992,0.0,0.0,0.969,0.3
AdaBoost,0.7688,0.2311,0.0184,0.5046,0.0093,1.0,0.9709,33.3
GradientBoosting,0.9821,0.5853,0.2313,0.5656,0.1314,0.9659,0.9743,43.6
XGBoost,0.9051,0.1422,0.0092,0.5023,0.0046,0.6,0.9706,0.5
LightGBM,0.6618,0.0681,0.0184,0.5046,0.0093,1.0,0.9709,0.4
CatBoost,0.8813,0.4164,0.2909,0.5914,0.1855,0.6742,0.9734,1.6
VotingClassifier,0.9218,0.5919,0.0,0.5,0.0,0.0,0.9706,1.8
StackingClassifier,0.9249,0.2175,0.0092,0.5023,0.0046,1.0,0.9707,4.9
